ticker,reason
AALI,missing_required_nonfinancial:debt_to_equity
ACST,missing_required_nonfinancial:debt_to_equity
ADES,missing_required_nonfinancial:debt_to_equity
AGAR,per_out_of_range:1407.0352
ALKA,missing_required_nonfinancial:debt_to_equity
AYAM,per_out_of_range:1262.5
BACH,missing_required_nonfinancial:free_cashflow
BIKE,missing_required_nonfinancial:debt_to_equity
BISI,missing_required_nonfinancial:debt_to_equity
BLUE,missing_required_nonfinancial:debt_to_equity
BOGA,per_out_of_range:1431.1926
BSSR,missing_required_nonfinancial:debt_to_equity
BYAN,missing_required_nonfinancial:debt_to_equity
CAMP,missing_required_nonfinancial:debt_to_equity
CARE,per_out_of_range:2462.5
CBRE,missing_required_nonfinancial:free_cashflow
CEKA,missing_required_nonfinancial:debt_to_equity
CITA,"missing_required_nonfinancial:debt_to_equity,missing_required_nonfinancial:free_cashflow"
EURO,"missing_required_nonfinancial:debt_to_equity,per_out_of_range:1906.6666"
GGRM,missing_required_nonfinancial:debt_to_equity
IMJS,missing_required_nonfinancial:free_cashflow
JECX,missing_required_nonfinancial:free_cashflow
LSIP,missing_required_nonfinancial:debt_to_equity
MDIA,per_out_of_range:2542.8572
MDKA,per_out_of_range:1632.184
MDLA,missing_required_nonfinancial:free_cashflow
MOLI,missing_required_nonfinancial:debt_to_equity
MPPA,missing_required_nonfinancial:debt_to_equity
MTEL,missing_required_nonfinancial:free_cashflow
NEST,missing_required_nonfinancial:debt_to_equity
PSKT,missing_required_nonfinancial:debt_to_equity
RANS,missing_required_nonfinancial:free_cashflow
RDTX,"missing_required_nonfinancial:debt_to_equity,missing_required_nonfinancial:free_cashflow"
RLCO,missing_required_nonfinancial:free_cashflow
SCCO,missing_required_nonfinancial:debt_to_equity
SINI,missing_required_nonfinancial:debt_to_equity
STTP,missing_required_nonfinancial:debt_to_equity
SURE,per_out_of_range:1662.8572
TEBE,missing_required_nonfinancial:debt_to_equity
VERN,missing_required_nonfinancial:free_cashflow
XSPI,"missing_required:sector,missing_required:industry,missing_required:price,missing_required:market_cap,missing_required_nonfinancial:debt_to_equity,missing_required_nonfinancial:current_ratio,missing_required_nonfinancial:free_cashflow"
