as_of,ticker,name,sector,industry,currency,quote_type,price,market_cap,shares_outstanding,pe_trailing,pe_forward,pbv,eps_ttm,book_value_per_share,roe,roa,profit_margin,operating_margin,earnings_growth,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_cash,total_debt,dividend_yield,payout_ratio,five_year_avg_dividend_yield,provider,provider_version,schema_version
2026-09-22,AADI,PT Adaro Andalan Indonesia Tbk,Energy,Thermal Coal,IDR,EQUITY,11250.0,87602535333888,7786891760,6.1226,93547.31,26285.047,1837.44,0.43,0.23297,0.1111,0.15923,0.30947,0.421,0.216,25.672,2.593,-444173376,1231058048,1010001024,8.63,0.5636,,yfinance,0.2.65,1
2026-09-22,ABDA,PT Asuransi Bina Dana Arta Tbk,Financial Services,Insurance - Property & Casualty,IDR,EQUITY,4980.0,3091617021952,35373600,27.2131,,1.7184,183.0,2898.08,0.06635,0.02929,0.11125,0.24666,0.185,-0.153,,2.272,438421618688,2158926233600,0,,0.0,1.39,yfinance,0.2.65,1
2026-09-22,ABMM,PT ABM Investama Tbk,Energy,Thermal Coal,IDR,EQUITY,2720.0,7488608927744,2753165000,5.173,,8421.053,525.81,0.32,0.09491,0.01878,0.07928,0.01975,2.965,0.104,103.092,1.138,41414928,214179648,922343232,3.54,0.1819,,yfinance,0.2.65,1
2026-09-22,ACES,PT Aspirasi Hidup Indonesia Tbk,Consumer Cyclical,Specialty Retail,IDR,EQUITY,340.0,5820932685824,17120389700,7.6182,5.9182,0.9147,44.63,371.73,0.1212,0.06339,0.086,0.07775,0.499,0.025,15.331,4.945,647378763776,2014863163392,988865888256,9.25,0.7171,4.97,yfinance,0.2.65,1
2026-09-22,ADMF,PT Adira Dinamika Multi Finance Tbk,Financial Services,Credit Services,IDR,EQUITY,8725.0,10696735588352,1225986955,5.818,,0.6914,1499.65,12619.61,0.13755,0.05296,0.23286,0.37329,0.205,0.278,126.491,4.965,,1775217016832,19570062524416,7.18,0.42,7.63,yfinance,0.2.65,1
2026-09-22,ADMR,PT Alamtri Minerals Indonesia Tbk,Basic Materials,Coking Coal,IDR,EQUITY,1520.0,62141142925312,40882331500,11.408,8.831,40000.0,133.24,0.04,0.17246,0.07883,0.27397,0.45138,0.153,0.297,103.461,1.583,-418899680,515036000,1849373952,3.3,0.3888,,yfinance,0.2.65,1
2026-09-22,ADRO,PT Alamtri Resources Indonesia Tbk,Energy,Thermal Coal,IDR,EQUITY,2610.0,75169284489216,28800494200,7.3124,5.0546,16312.5,356.93,0.16,0.12338,0.06007,0.28888,0.42203,0.891,0.11,37.824,2.918,-271952000,1587927040,1939388032,9.03,0.7693,13.19,yfinance,0.2.65,1
2026-09-22,AGII,PT Samator Indo Gas Tbk,Basic Materials,Chemicals,IDR,EQUITY,3570.0,10947976495104,3066660000,108.3789,55.7812,2.8916,32.94,1234.62,0.02765,0.03296,0.03221,0.13495,1.02,0.099,101.357,1.815,122480377856,628080967680,3926151921664,0.32,0.3461,0.45,yfinance,0.2.65,1
2026-09-22,AGRO,PT Bank Raya Indonesia Tbk,Financial Services,Banks - Regional,IDR,EQUITY,141.0,1541122949120,10929949922,,74.2105,1.1929,-21.04,118.2,-0.16188,-0.03956,-1.48894,0.03091,-0.676,0.126,,,,546990620672,1580391071744,,0.0,0.7,yfinance,0.2.65,1
2026-09-22,AGRS,PT Bank IBK Indonesia Tbk,Financial Services,Banks - Regional,IDR,EQUITY,58.0,2776134320128,47864384874,10.302,,0.469,5.63,123.67,0.03757,0.00927,0.31587,0.56507,0.752,0.274,,,,1857173979136,6864804773888,,0.0,,yfinance,0.2.65,1
