ticker,first_seen,last_seen,status,name_at_first_seen,delist_reason,absences
AADI,2026-09-22,2026-09-22,active,AADI,,0
AALI,2026-09-22,2026-09-22,active,AALI,,0
ABDA,2026-09-22,2026-09-22,active,ABDA,,0
ABMM,2026-09-22,2026-09-22,active,ABMM,,0
ACES,2026-09-22,2026-09-22,active,ACES,,0
ACST,2026-09-22,2026-09-22,active,ACST,,0
ADES,2026-09-22,2026-09-22,active,ADES,,0
ADMF,2026-09-22,2026-09-22,active,ADMF,,0
ADMR,2026-09-22,2026-09-22,active,ADMR,,0
ADRO,2026-09-22,2026-09-22,active,ADRO,,0
AGAR,2026-09-22,2026-09-22,active,AGAR,,0
AGII,2026-09-22,2026-09-22,active,AGII,,0
AGRO,2026-09-22,2026-09-22,active,AGRO,,0
AGRS,2026-09-22,2026-09-22,active,AGRS,,0
AISA,2026-09-22,2026-09-22,active,AISA,,0
AKRA,2026-09-22,2026-09-22,active,AKRA,,0
ALDO,2026-09-22,2026-09-22,active,ALDO,,0
ALII,2026-09-22,2026-09-22,active,ALII,,0
ALKA,2026-09-22,2026-09-22,active,ALKA,,0
AMAG,2026-09-22,2026-09-22,active,AMAG,,0
AMAR,2026-09-22,2026-09-22,active,AMAR,,0
AMFG,2026-09-22,2026-09-22,active,AMFG,,0
AMMN,2026-09-22,2026-09-22,active,AMMN,,0
AMRT,2026-09-22,2026-09-22,active,AMRT,,0
ANJT,2026-09-22,2026-09-22,active,ANJT,,0
ANTM,2026-09-22,2026-09-22,active,ANTM,,0
APIC,2026-09-22,2026-09-22,active,APIC,,0
APLN,2026-09-22,2026-09-22,active,APLN,,0
ARCI,2026-09-22,2026-09-22,active,ARCI,,0
ARGO,2026-09-22,2026-09-22,active,ARGO,,0
ARII,2026-09-22,2026-09-22,active,ARII,,0
ARKO,2026-09-22,2026-09-22,active,ARKO,,0
ARNA,2026-09-22,2026-09-22,active,ARNA,,0
ARTO,2026-09-22,2026-09-22,active,ARTO,,0
ASGR,2026-09-22,2026-09-22,active,ASGR,,0
ASII,2026-09-22,2026-09-22,active,ASII,,0
ASLI,2026-09-22,2026-09-22,active,ASLI,,0
ASRI,2026-09-22,2026-09-22,active,ASRI,,0
ASSA,2026-09-22,2026-09-22,active,ASSA,,0
ATIC,2026-09-22,2026-09-22,active,ATIC,,0
AUTO,2026-09-22,2026-09-22,active,AUTO,,0
AVIA,2026-09-22,2026-09-22,active,AVIA,,0
AYAM,2026-09-22,2026-09-22,active,AYAM,,0
BABP,2026-09-22,2026-09-22,active,BABP,,0
BACA,2026-09-22,2026-09-22,active,BACA,,0
BACH,2026-09-22,2026-09-22,active,BACH,,0
BALI,2026-09-22,2026-09-22,active,BALI,,0
BANK,2026-09-22,2026-09-22,active,BANK,,0
BBCA,2026-09-22,2026-09-22,active,BBCA,,0
BBHI,2026-09-22,2026-09-22,active,BBHI,,0
BBKP,2026-09-22,2026-09-22,active,BBKP,,0
BBLD,2026-09-22,2026-09-22,active,BBLD,,0
BBMD,2026-09-22,2026-09-22,active,BBMD,,0
BBNI,2026-09-22,2026-09-22,active,BBNI,,0
BBRI,2026-09-22,2026-09-22,active,BBRI,,0
BBRM,2026-09-22,2026-09-22,active,BBRM,,0
BBSI,2026-09-22,2026-09-22,active,BBSI,,0
BBTN,2026-09-22,2026-09-22,active,BBTN,,0
BBYB,2026-09-22,2026-09-22,active,BBYB,,0
BCAP,2026-09-22,2026-09-22,active,BCAP,,0
BCIC,2026-09-22,2026-09-22,active,BCIC,,0
BDMN,2026-09-22,2026-09-22,active,BDMN,,0
BEEF,2026-09-22,2026-09-22,active,BEEF,,0
BEKS,2026-09-22,2026-09-22,active,BEKS,,0
BELI,2026-09-22,2026-09-22,active,BELI,,0
BESS,2026-09-22,2026-09-22,active,BESS,,0
BEST,2026-09-22,2026-09-22,active,BEST,,0
BFIN,2026-09-22,2026-09-22,active,BFIN,,0
BGTG,2026-09-22,2026-09-22,active,BGTG,,0
BHIT,2026-09-22,2026-09-22,active,BHIT,,0
BIKE,2026-09-22,2026-09-22,active,BIKE,,0
BINA,2026-09-22,2026-09-22,active,BINA,,0
BIPI,2026-09-22,2026-09-22,active,BIPI,,0
BIRD,2026-09-22,2026-09-22,active,BIRD,,0
BISI,2026-09-22,2026-09-22,active,BISI,,0
